ATF	1.0
8	11     
"AcquisitionMode=Episodic Stimulation"
"Comment="
"YTop=1000"
"YBottom=-1000"
"SyncTimeUnits=12.5"
"SweepStartTimesMS=0.000,3000.000,6000.000,9000.000,12000.000,15000.000,18000.000,21000.000,24000.000,27000.000"
"SignalsExported=V1prim"
"Signals="	"V1prim"	"V1prim"	"V1prim"	"V1prim"	"V1prim"	"V1prim"	"V1prim"	"V1prim"	"V1prim"	"V1prim"
"Time (s)"	"Trace #1 (mV)"	"Trace #2 (mV)"	"Trace #3 (mV)"	"Trace #4 (mV)"	"Trace #5 (mV)"	"Trace #6 (mV)"	"Trace #7 (mV)"	"Trace #8 (mV)"	"Trace #9 (mV)"	"Trace #10 (mV)"
0.00565	-29.602	-29.2664	-30.0293	-29.6326	-29.9072	-29.2664	-29.1138	-28.4729	-29.0527	-29.2664
0.0057	-29.6326	-29.2664	-30.0598	-29.6326	-29.9377	-29.2358	-29.1138	-28.5034	-29.0527	-29.2664
0.00575	-29.6326	-29.2664	-30.0903	-29.6936	-29.9377	-29.2053	-29.1443	-28.5034	-29.0833	-29.2664
0.0058	-29.602	-29.2358	-30.0598	-29.6631	-29.9377	-29.1748	-29.1443	-28.5034	-29.0527	-29.2664
0.00585	-29.6326	-29.2664	-30.0293	-29.6326	-29.9377	-29.2053	-29.0833	-28.5034	-29.0833	-29.2664
0.0059	-29.6326	-29.2969	-30.0293	-29.6631	-29.9988	-29.1748	-29.1138	-28.4424	-29.0833	-29.2664
0.00595	-29.5715	-29.2969	-29.9988	-29.6326	-29.9377	-29.1748	-29.1138	-28.4424	-29.0527	-29.2358
0.006	-29.602	-29.2664	-29.9988	-29.6326	-29.9072	-29.1748	-29.1443	-28.4119	-29.0527	-29.2358
0.00605	-29.602	-29.2053	-29.9683	-29.6936	-29.9683	-29.2053	-29.1443	-28.4424	-29.0527	-29.2358
0.0061	-29.6326	-29.2358	-29.9988	-29.6631	-29.9683	-29.1443	-29.1138	-28.4424	-29.0222	-29.2358
0.00615	-29.6326	-29.2053	-30.0293	-29.6326	-29.9377	-29.1443	-29.0833	-28.4424	-29.0222	-29.2358
0.0062	-29.6326	-29.2053	-29.9683	-29.6936	-29.9377	-29.1138	-29.0833	-28.4424	-29.0833	-29.2358
0.00625	-29.6326	-29.2664	-29.9988	-29.6631	-29.9377	-29.1748	-29.1138	-28.4729	-29.0222	-29.2358
0.0063	-29.602	-29.2358	-30.0293	-29.6631	-29.9377	-29.1138	-29.0833	-28.4424	-29.0222	-29.2053
0.00635	-29.6326	-29.2053	-30.0293	-29.6936	-29.9683	-29.1443	-29.0833	-28.5034	-29.0222	-29.2969
0.0064	-29.6326	-29.2358	-29.9683	-29.6936	-29.9377	-29.1443	-29.1138	-28.4729	-29.0222	-29.2664
0.00645	-29.602	-29.2358	-30.0293	-29.6936	-29.9377	-29.1748	-29.1138	-28.4729	-29.0833	-29.2664
0.0065	-29.6326	-29.2664	-29.9988	-29.6936	-29.9377	-29.1748	-29.1138	-28.4729	-29.0222	-29.2664
0.00655	-29.6326	-29.2664	-29.9988	-29.6936	-29.9072	-29.1748	-29.1138	-28.4729	-29.0833	-29.2969
0.0066	-29.6326	-29.2664	-30.0598	-29.7241	-29.9683	-29.1748	-29.0833	-28.5034	-29.0527	-29.2969
0.00665	-29.602	-29.2664	-30.0293	-29.7241	-29.9377	-29.2053	-29.1138	-28.5034	-29.0527	-29.3274
0.0067	-29.6326	-29.2358	-29.9683	-29.7241	-29.9377	-29.2053	-29.0833	-28.4729	-29.0833	-29.2969
0.00675	-29.6326	-29.2969	-30.0293	-29.7241	-29.9377	-29.1748	-29.1138	-28.5339	-29.0833	-29.2969
0.0068	-29.6326	-29.2053	-29.9988	-29.6631	-29.9683	-29.2053	-29.1138	-28.4729	-29.0833	-29.2664
0.00685	-29.602	-29.2358	-29.9988	-29.7241	-29.9072	-29.1748	-29.0833	-28.4424	-29.0527	-29.2969
0.0069	-29.602	-29.2664	-29.9988	-29.6936	-29.9377	-29.2053	-29.0833	-28.5339	-29.0527	-29.2969
0.00695	-29.6326	-29.2358	-29.9988	-29.7241	-29.9377	-29.1748	-29.0222	-28.4424	-29.0222	-29.2969
0.007	-29.602	-29.2664	-29.9988	-29.6936	-29.9683	-29.1748	-29.1138	-28.4424	-29.0527	-29.2358
0.00705	-29.6326	-29.2969	-29.9988	-29.6936	-29.9072	-29.1748	-29.1138	-28.4424	-29.0527	-29.2664
0.0071	-29.6326	-29.2664	-30.0598	-29.7241	-29.9377	-29.1748	-29.0833	-28.4729	-29.0222	-29.2664
0.00715	-29.6631	-29.2664	-29.9988	-29.7241	-29.9377	-29.2053	-29.0833	-28.5034	-29.0527	-29.2664
0.0072	-29.6326	-29.2053	-29.9988	-29.7852	-29.9683	-29.2053	-29.0527	-28.4729	-29.0527	-29.2969
0.00725	-29.602	-29.2358	-29.9988	-29.7546	-29.9072	-29.2053	-29.0833	-28.4119	-29.0222	-29.2664
0.0073	-29.6326	-29.2969	-29.9988	-29.7241	-29.9072	-29.2358	-29.0527	-28.5034	-28.9917	-29.2358
0.00735	-29.6326	-29.2358	-30.0293	-29.7241	-29.9683	-29.2053	-29.0527	-28.4729	-29.0527	-29.2969
0.0074	-29.6631	-29.2053	-30.0293	-29.6936	-29.9072	-29.2664	-29.0833	-28.5034	-29.0833	-29.2664
0.00745	-29.602	-29.2358	-29.9988	-29.6936	-29.9072	-29.2053	-29.0527	-28.4729	-29.0833	-29.2664
0.0075	-29.602	-29.2358	-30.0293	-29.6936	-29.9377	-29.1748	-29.0833	-28.4729	-29.0527	-29.2664
0.00755	-29.6326	-29.2053	-30.0598	-29.7241	-29.9683	-29.1748	-29.0527	-28.4424	-29.0222	-29.2969
0.0076	-29.6326	-29.2358	-30.0293	-29.6936	-29.9377	-29.1138	-29.0222	-28.4424	-29.0222	-29.2969
0.00765	-29.6936	-29.2664	-30.0903	-29.7241	-29.9072	-29.1443	-29.0527	-28.4729	-29.0833	-29.2664
0.0077	-29.602	-29.2664	-30.0293	-29.7241	-29.9072	-29.1443	-29.0833	-28.5034	-28.9917	-29.2664
0.00775	-29.602	-29.2664	-30.0293	-29.7241	-29.8767	-29.1138	-29.0527	-28.5034	-29.0527	-29.2969
0.0078	-29.6326	-29.2664	-30.0598	-29.6936	-29.9377	-29.1748	-29.0833	-28.4729	-29.0833	-29.2664
0.00785	-29.602	-29.2358	-29.9988	-29.6631	-29.9377	-29.1138	-29.1138	-28.5034	-29.0833	-29.2969
0.0079	-29.6326	-29.2664	-29.9988	-29.6936	-29.9072	-29.1748	-29.0833	-28.4424	-29.0833	-29.2358
0.00795	-29.6326	-29.2969	-30.0598	-29.6936	-29.9072	-29.1748	-29.0527	-28.4729	-29.0527	-29.2969
0.008	-29.6326	-29.2053	-30.0293	-29.7241	-29.9377	-29.1138	-29.0527	-28.4729	-29.0833	-29.3274
0.00805	-29.6326	-29.2664	-30.0293	-29.7241	-29.9683	-29.1443	-29.0527	-28.4424	-29.0833	-29.2969
0.0081	-29.6631	-29.2664	-30.0293	-29.7546	-29.9072	-29.1748	-29.0527	-28.5034	-28.9917	-29.2664
0.00815	-29.6326	-29.2664	-30.0293	-29.7241	-29.9377	-29.1443	-28.9917	-28.5034	-28.9917	-29.2969
0.0082	-29.5715	-29.2664	-29.9988	-29.6936	-29.9072	-29.1443	-29.0222	-28.4729	-29.0527	-29.2664
0.00825	-29.6326	-29.2664	-30.0293	-29.6936	-29.9683	-29.1748	-29.0527	-28.5339	-29.0527	-29.2969
0.0083	-29.6631	-29.2358	-30.0293	-29.7241	-29.9377	-29.1443	-29.0222	-28.5034	-29.0222	-29.2664
0.00835	-29.6326	-29.2358	-30.0293	-29.6936	-29.9988	-29.1748	-29.1138	-28.5034	-29.0527	-29.2969
0.0084	-29.6326	-29.2358	-29.9988	-29.6936	-29.9683	-29.1748	-29.0527	-28.5339	-29.0222	-29.2969
0.00845	-29.6326	-29.2053	-30.0293	-29.6631	-29.9683	-29.2053	-29.0527	-28.5034	-29.0222	-29.3274
0.0085	-29.602	-29.2664	-29.9988	-29.6936	-29.9683	-29.2053	-29.0222	-28.5339	-29.0222	-29.2969
0.00855	-29.602	-29.2053	-29.9988	-29.7241	-29.9072	-29.1748	-29.0527	-28.5034	-29.0222	-29.3579
0.0086	-29.6631	-29.2358	-29.9683	-29.7241	-29.9377	-29.1748	-29.0222	-28.4729	-29.0222	-29.2969
0.00865	-29.6326	-29.2969	-30.0598	-29.7241	-29.9072	-29.1748	-29.0833	-28.5034	-29.0222	-29.2969
0.0087	-29.602	-29.2358	-29.9988	-29.7241	-29.9072	-29.1443	-29.0527	-28.5034	-29.0527	-29.2969
