label,family,baseline_E,baseline_I,baseline_ptp,min_activity,max_activity,E_mean_0,I_mean_0,E_ptp_0,crossings_0,I_output_mean_0,E_mean_1,I_mean_1,E_ptp_1,crossings_1,I_output_mean_1,persistent_oscillation,valid_baseline
E_only_counterexample/E_suppressed,E_only_counterexample,0.44821637945651915,0.42327083898682094,0.0,0.04776892267670731,0.47986934907252066,0.28378189638752616,0.28168988777192727,0.424095069325235,11,0.28168988777192727,0.28388679836468494,0.282735536758888,0.4240938303505745,11,0.282735536758888,True,True
equal_circuit/S2/baseline,equal_circuit,0.06466481769661322,0.060771969681394956,9.930038384994844e-06,0.0500087784514867,0.0796269668360355,0.06466445263642571,0.06077193168268279,0.0,0,0.06077193168268279,0.06466445263642571,0.06077193168268279,0.0,0,0.06077193168268279,False,True
equal_circuit/S2/Syn,equal_circuit,0.06466481769661322,0.060771969681394956,9.930038384994844e-06,0.008202959222643039,0.3046784795865941,0.10268784687025118,0.07652500167843498,0.2964703258166837,9,0.07652500167843498,0.09640495563031001,0.07358810973264115,0.29647547695821114,9,0.07358810973264115,True,True
equal_circuit/S2/CaMKII,equal_circuit,0.06466481769661322,0.060771969681394956,9.930038384994844e-06,0.028873656929726085,0.0796269668360355,0.03002970600199167,0.03991336560758484,0.0,0,0.03991336560758484,0.03002970600199167,0.03991336560758484,0.0,0,0.03991336560758484,False,True
equal_circuit/S2/hDlx,equal_circuit,0.06466481769661322,0.060771969681394956,9.930038384994844e-06,0.018063534849058666,0.41743108336054224,0.15542624299801358,0.11423862540054847,0.39936750889385014,12,0.11423862540054847,0.15541803485697867,0.11423421960266894,0.39936744013515213,12,0.11423421960266894,True,True
equal_circuit/S2/I_spared,equal_circuit,0.06466481769661322,0.060771969681394956,9.930038384994844e-06,0.028873656929726085,0.0796269668360355,0.03002970600199167,0.03991336560758484,0.0,0,0.03991336560758484,0.03002970600199167,0.03991336560758484,0.0,0,0.03991336560758484,False,True
equal_circuit/S1/baseline,equal_circuit,0.06466481769661322,0.060771969681394956,9.930038384994844e-06,0.0500087784514867,0.0796269668360355,0.06466445263642571,0.06077193168268279,0.0,0,0.06077193168268279,0.06466445263642571,0.06077193168268279,0.0,0,0.06077193168268279,False,True
equal_circuit/S1/Syn,equal_circuit,0.06466481769661322,0.060771969681394956,9.930038384994844e-06,0.008202959222643039,0.3046784795865941,0.10268784687025118,0.07652500167843498,0.2964703258166837,9,0.07652500167843498,0.09640495563031001,0.07358810973264115,0.29647547695821114,9,0.07358810973264115,True,True
equal_circuit/S1/CaMKII,equal_circuit,0.06466481769661322,0.060771969681394956,9.930038384994844e-06,0.028873656929726085,0.0796269668360355,0.03002970600199167,0.03991336560758484,0.0,0,0.03991336560758484,0.03002970600199167,0.03991336560758484,0.0,0,0.03991336560758484,False,True
equal_circuit/S1/hDlx,equal_circuit,0.06466481769661322,0.060771969681394956,9.930038384994844e-06,0.018063534849058666,0.41743108336054224,0.15542624299801358,0.11423862540054847,0.39936750889385014,12,0.11423862540054847,0.15541803485697867,0.11423421960266894,0.39936744013515213,12,0.11423421960266894,True,True
equal_circuit/S1/I_spared,equal_circuit,0.06466481769661322,0.060771969681394956,9.930038384994844e-06,0.028873656929726085,0.0796269668360355,0.03002970600199167,0.03991336560758484,0.0,0,0.03991336560758484,0.03002970600199167,0.03991336560758484,0.0,0,0.03991336560758484,False,True
equal_targeting/S2/baseline,equal_targeting,0.06466481769661322,0.060771969681394956,9.930038384994844e-06,0.0500087784514867,0.0796269668360355,0.06466445263642571,0.06077193168268279,0.0,0,0.06077193168268279,0.06466445263642571,0.06077193168268279,0.0,0,0.06077193168268279,False,True
equal_targeting/S2/Syn,equal_targeting,0.06466481769661322,0.060771969681394956,9.930038384994844e-06,0.008202959222643039,0.3046784795865941,0.10268784687025118,0.07652500167843498,0.2964703258166837,9,0.07652500167843498,0.09640495563031001,0.07358810973264115,0.29647547695821114,9,0.07358810973264115,True,True
equal_targeting/S2/CaMKII,equal_targeting,0.06466481769661322,0.060771969681394956,9.930038384994844e-06,0.028873656929726085,0.0796269668360355,0.03002970600199167,0.03991336560758484,0.0,0,0.03991336560758484,0.03002970600199167,0.03991336560758484,0.0,0,0.03991336560758484,False,True
equal_targeting/S2/hDlx,equal_targeting,0.06466481769661322,0.060771969681394956,9.930038384994844e-06,0.018063534849058666,0.41743108336054224,0.15542624299801358,0.11423862540054847,0.39936750889385014,12,0.11423862540054847,0.15541803485697867,0.11423421960266894,0.39936744013515213,12,0.11423421960266894,True,True
