condition_type,coupling_dimensionless,delay_ms,perturbation_dimensionless,region,peak_activity_dimensionless,recruited,onset_ms
grid,0.550000011920929,12.0,0.30000001192092896,2,0.6846084594726562,True,43.0
grid,0.550000011920929,12.0,0.30000001192092896,3,0.592220664024353,True,57.29999923706055
grid,0.550000011920929,12.0,0.5,0,0.9283698201179504,True,11.40000057220459
grid,0.550000011920929,12.0,0.5,1,0.9215089678764343,True,25.0
grid,0.550000011920929,12.0,0.5,2,0.9134522080421448,True,38.60000228881836
grid,0.550000011920929,12.0,0.5,3,0.907412052154541,True,52.29999923706055
grid,0.550000011920929,12.0,0.699999988079071,0,1.0254265069961548,True,10.90000057220459
grid,0.550000011920929,12.0,0.699999988079071,1,0.955358624458313,True,24.30000114440918
grid,0.550000011920929,12.0,0.699999988079071,2,0.9284786581993103,True,37.900001525878906
grid,0.550000011920929,12.0,0.699999988079071,3,0.9155924916267395,True,51.5
grid,0.6499999761581421,1.0,0.30000001192092896,0,0.6361941695213318,True,14.0
grid,0.6499999761581421,1.0,0.30000001192092896,1,0.8242557048797607,True,16.399999618530273
grid,0.6499999761581421,1.0,0.30000001192092896,2,0.924094557762146,True,18.700000762939453
grid,0.6499999761581421,1.0,0.30000001192092896,3,0.963272213935852,True,21.0
grid,0.6499999761581421,1.0,0.5,0,0.9283698201179504,True,11.40000057220459
grid,0.6499999761581421,1.0,0.5,1,0.9750931262969971,True,13.699999809265137
grid,0.6499999761581421,1.0,0.5,2,0.9870426654815674,True,15.90000057220459
grid,0.6499999761581421,1.0,0.5,3,0.9899053573608398,True,18.100000381469727
grid,0.6499999761581421,1.0,0.699999988079071,0,1.0254265069961548,True,10.90000057220459
grid,0.6499999761581421,1.0,0.699999988079071,1,1.0053786039352417,True,13.0
grid,0.6499999761581421,1.0,0.699999988079071,2,0.9973836541175842,True,15.199999809265137
grid,0.6499999761581421,1.0,0.699999988079071,3,0.9939925670623779,True,17.399999618530273
grid,0.6499999761581421,4.0,0.30000001192092896,0,0.6361941695213318,True,14.0
grid,0.6499999761581421,4.0,0.30000001192092896,1,0.8242557048797607,True,19.399999618530273
grid,0.6499999761581421,4.0,0.30000001192092896,2,0.924094557762146,True,24.700000762939453
grid,0.6499999761581421,4.0,0.30000001192092896,3,0.963272213935852,True,30.0
grid,0.6499999761581421,4.0,0.5,0,0.9283698201179504,True,11.40000057220459
grid,0.6499999761581421,4.0,0.5,1,0.9750931262969971,True,16.700000762939453
grid,0.6499999761581421,4.0,0.5,2,0.9870426654815674,True,21.899999618530273
grid,0.6499999761581421,4.0,0.5,3,0.9899053573608398,True,27.100000381469727
grid,0.6499999761581421,4.0,0.699999988079071,0,1.0254265069961548,True,10.90000057220459
grid,0.6499999761581421,4.0,0.699999988079071,1,1.0053786039352417,True,16.0
grid,0.6499999761581421,4.0,0.699999988079071,2,0.9973836541175842,True,21.200000762939453
grid,0.6499999761581421,4.0,0.699999988079071,3,0.9939925670623779,True,26.399999618530273
grid,0.6499999761581421,8.0,0.30000001192092896,0,0.6361941695213318,True,14.0
grid,0.6499999761581421,8.0,0.30000001192092896,1,0.8242557048797607,True,23.399999618530273
grid,0.6499999761581421,8.0,0.30000001192092896,2,0.924094557762146,True,32.70000076293945
grid,0.6499999761581421,8.0,0.30000001192092896,3,0.963272213935852,True,42.0
grid,0.6499999761581421,8.0,0.5,0,0.9283698201179504,True,11.40000057220459
grid,0.6499999761581421,8.0,0.5,1,0.9750931262969971,True,20.700000762939453
grid,0.6499999761581421,8.0,0.5,2,0.9870426654815674,True,29.899999618530273
grid,0.6499999761581421,8.0,0.5,3,0.9899053573608398,True,39.10000228881836
grid,0.6499999761581421,8.0,0.699999988079071,0,1.0254265069961548,True,10.90000057220459
grid,0.6499999761581421,8.0,0.699999988079071,1,1.0053786039352417,True,20.0
grid,0.6499999761581421,8.0,0.699999988079071,2,0.9973836541175842,True,29.200000762939453
grid,0.6499999761581421,8.0,0.699999988079071,3,0.9939925670623779,True,38.400001525878906
grid,0.6499999761581421,12.0,0.30000001192092896,0,0.6361941695213318,True,14.0
grid,0.6499999761581421,12.0,0.30000001192092896,1,0.8242557048797607,True,27.399999618530273
grid,0.6499999761581421,12.0,0.30000001192092896,2,0.924094557762146,True,40.70000076293945
grid,0.6499999761581421,12.0,0.30000001192092896,3,0.963272213935852,True,54.0
grid,0.6499999761581421,12.0,0.5,0,0.9283698201179504,True,11.40000057220459
grid,0.6499999761581421,12.0,0.5,1,0.9750931262969971,True,24.700000762939453
grid,0.6499999761581421,12.0,0.5,2,0.9870426654815674,True,37.900001525878906
grid,0.6499999761581421,12.0,0.5,3,0.9899053573608398,True,51.10000228881836
grid,0.6499999761581421,12.0,0.699999988079071,0,1.0254265069961548,True,10.90000057220459
grid,0.6499999761581421,12.0,0.699999988079071,1,1.0053786039352417,True,24.0
grid,0.6499999761581421,12.0,0.699999988079071,2,0.9973836541175842,True,37.20000076293945
grid,0.6499999761581421,12.0,0.699999988079071,3,0.9939925670623779,True,50.400001525878906
no_coupling,0.0,4.0,0.5,0,0.9283698201179504,True,11.40000057220459
no_coupling,0.0,4.0,0.5,1,0.0,False,nan
no_coupling,0.0,4.0,0.5,2,0.0,False,nan
no_coupling,0.0,4.0,0.5,3,0.0,False,nan
no_perturbation,0.550000011920929,4.0,0.0,0,0.0,False,nan
no_perturbation,0.550000011920929,4.0,0.0,1,0.0,False,nan
no_perturbation,0.550000011920929,4.0,0.0,2,0.0,False,nan
no_perturbation,0.550000011920929,4.0,0.0,3,0.0,False,nan
